"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2zSHYr17CBX8Ek6dLSc7Wt","Temple of the King - Live","spotify:artist:7yMqxge3rOuzpKVIoSQToG","Ritchie Blackmore's Rainbow","spotify:album:2Ky7JjaPH6YFCGU8u1yae7","Black Masquerade","spotify:artist:7yMqxge3rOuzpKVIoSQToG","Ritchie Blackmore's Rainbow","2013-08-23","https://i.scdn.co/image/ab67616d0000b273edf00e135b6531dafc6b84e0","1","10","364573","","false","0","spotify:user:sebastianelisapfeifer","2020-06-28T00:34:14Z"
"spotify:track:6XXxkAAmnrc1LI0HMP4tOj","Jolene (Live Under Blackpool Lights)","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:4uptroCN0VrQnc4jB0V8BX","Jolene (Live Under Blackpool Lights)","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2004-11-15","https://i.scdn.co/image/ab67616d0000b273180678aee4f77ee5df6744e3","1","1","198880","","false","0","spotify:user:sebastianelisapfeifer","2020-06-28T00:34:26Z"
"spotify:track:7rSyrNH6IWMsjx2AaIF5No","Mistreated - Live","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:75loMVnT9nOnx7YniYmTo3","Live In Munich 1977 (Live From Munich Olympiahalle, Germany, October 20th/1977)","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","2013-01-01","https://i.scdn.co/image/ab67616d0000b2737a6cb6411065597c6c90dd5f","1","3","706013","","false","0","spotify:user:sebastianelisapfeifer","2020-06-28T00:34:41Z"
"spotify:track:5UhIcPeLh8E8u4b4cpLJKh","Catch The Rainbow - Live","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:75loMVnT9nOnx7YniYmTo3","Live In Munich 1977 (Live From Munich Olympiahalle, Germany, October 20th/1977)","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","2013-01-01","https://i.scdn.co/image/ab67616d0000b2737a6cb6411065597c6c90dd5f","1","5","1095200","","false","0","spotify:user:sebastianelisapfeifer","2020-06-28T00:34:47Z"
"spotify:track:4eu8mVZODRF09VF3UJPeXi","Day of the Lords - Live","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:6NnLjK3TIAx58lkkfySfqn","Les Bains Douches 18 December 1979","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","2001","https://i.scdn.co/image/ab67616d0000b2735d8c08ecbc726c261b748c87","1","6","279506","https://p.scdn.co/mp3-preview/2802b8d5d73bbd7f4f3f89d84e837ee757b66157?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:sebastianelisapfeifer","2020-06-28T00:35:28Z"
"spotify:track:6dAuTQZdjrg8b0wbfUDHB6","Bella Ciao - Live","spotify:artist:1ePGBuJM1znQUYt4qpgUdW, spotify:artist:119CgQj02xyMpOobWjdb3C, spotify:artist:75IzrAPplzxRVxhPYQL4D0","Hannes Wader, Reinhard Mey, Konstantin Wecker","spotify:album:3G8LN9RbqTc1nWrELTayk6","Mey Wader Wecker - Das Konzert","spotify:artist:119CgQj02xyMpOobWjdb3C, spotify:artist:1ePGBuJM1znQUYt4qpgUdW, spotify:artist:75IzrAPplzxRVxhPYQL4D0","Reinhard Mey, Hannes Wader, Konstantin Wecker","2003-06-01","https://i.scdn.co/image/ab67616d0000b273de3d912e797918c483328a42","1","25","247280","https://p.scdn.co/mp3-preview/ee4321af9a6b85a6cef061e3a8ad8006b3824e47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:sebastianelisapfeifer","2020-06-28T00:36:06Z"
"spotify:track:3s9QsxxTlcWcga9agSARTV","Sultans Of Swing - Live At Hammersmith Odeon, London/1983","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:7JLiApdEm6DhYEdK3cop0v","Alchemy: Dire Straits Live","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1984-03-14","https://i.scdn.co/image/ab67616d0000b273e91a60ba9b9b1591b1e26eb6","1","6","654306","https://p.scdn.co/mp3-preview/0882fc623016eddb5c1f02d761e2a1aa91e61d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:sebastianelisapfeifer","2020-06-28T00:36:25Z"
"spotify:track:7lBMLcpllbykwqBDIhUyZ3","The Sign of the Southern Cross / Heaven and Hell - Live; 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:1Uq7JKrKGGYCkg6l79gkoa","Live Evil","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1982-12-01","https://i.scdn.co/image/ab67616d0000b2731d21d6c1740f63ed5c9519c8","1","11","436133","https://p.scdn.co/mp3-preview/599c2c21356e002a2a9bde58ad92a1ed19a7aa2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:sebastianelisapfeifer","2020-06-28T00:36:45Z"
"spotify:track:0Hw9tAZiwORSoR5Izifjuu","Paranoid - Live; 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:1Uq7JKrKGGYCkg6l79gkoa","Live Evil","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1982-12-01","https://i.scdn.co/image/ab67616d0000b2731d21d6c1740f63ed5c9519c8","1","12","226946","https://p.scdn.co/mp3-preview/c2ae0ab6d3b783d21514ff319adfcbc1a8a3749b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:sebastianelisapfeifer","2020-06-28T00:36:51Z"
"spotify:track:0iCRvSfjlymFB61DsEL4tk","Soldier of Fortune - Live","spotify:artist:3UbyYnvNIT5DFXU4WgiGpP","Whitesnake","spotify:album:4GmOs69DwCSmzmFU49xNk7","The Purple Tour","spotify:artist:3UbyYnvNIT5DFXU4WgiGpP","Whitesnake","2018-01-19","https://i.scdn.co/image/ab67616d0000b273b5a55f7953f2465d7a706226","1","9","227826","https://p.scdn.co/mp3-preview/7eec85db1550c4cf6856565dd9807b0bf954ef06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:sebastianelisapfeifer","2020-06-28T00:37:15Z"
